file_audio;room_type;volume_m3;t30_1000Hz;t30_2000Hz;t30_4000Hz;t30_broadband
bagno_variants_150/bagno_059.wav;bagno;10.474;1.744;1.735;1.602;1.588
bagno_variants_150/bagno_060.wav;bagno;15.563;1.851;1.84;1.703;1.672
bagno_variants_150/bagno_061.wav;bagno;14.638;1.583;1.672;1.666;1.559
bagno_variants_150/bagno_062.wav;bagno;13.12;1.779;1.822;1.532;1.551
bagno_variants_150/bagno_063.wav;bagno;11.763;1.512;1.696;1.57;1.457
bagno_variants_150/bagno_064.wav;bagno;12.24;1.707;1.875;1.652;1.635
bagno_variants_150/bagno_065.wav;bagno;11.464;1.749;1.826;1.544;1.62
bagno_variants_150/bagno_066.wav;bagno;12.841;1.637;1.732;1.615;1.514
bagno_variants_150/bagno_067.wav;bagno;11.912;1.703;1.528;1.467;1.365
bagno_variants_150/bagno_068.wav;bagno;12.714;1.804;1.885;1.566;1.715
bagno_variants_150/bagno_069.wav;bagno;9.91;1.559;1.58;1.492;1.389
bagno_variants_150/bagno_070.wav;bagno;11.979;1.826;1.87;1.692;1.69
bagno_variants_150/bagno_071.wav;bagno;12.403;1.818;1.812;1.47;1.577
bagno_variants_150/bagno_072.wav;bagno;14.511;1.829;1.787;1.528;1.567
bagno_variants_150/bagno_073.wav;bagno;11.631;1.503;1.708;1.567;1.437
bagno_variants_150/bagno_074.wav;bagno;11.713;1.612;1.828;1.613;1.595
bagno_variants_150/bagno_075.wav;bagno;13.442;1.936;1.918;1.826;1.761
bagno_variants_150/bagno_076.wav;bagno;12.41;1.558;1.41;1.38;1.288
bagno_variants_150/bagno_077.wav;bagno;10.971;1.826;1.789;1.519;1.645
bagno_variants_150/bagno_078.wav;bagno;13.738;1.905;1.869;1.784;1.715
bagno_variants_150/bagno_079.wav;bagno;14.301;2.058;1.943;1.871;1.829
bagno_variants_150/bagno_080.wav;bagno;10.99;1.654;1.701;1.724;1.561
bagno_variants_150/bagno_081.wav;bagno;13.365;1.498;1.687;1.644;1.482
bagno_variants_150/bagno_082.wav;bagno;13.777;1.913;1.85;1.67;1.679
bagno_variants_150/bagno_083.wav;bagno;12.257;1.403;1.384;1.417;1.262
bagno_variants_150/bagno_084.wav;bagno;13.581;2.003;1.987;1.891;1.807
bagno_variants_150/bagno_085.wav;bagno;11.167;1.678;1.736;1.488;1.532
bagno_variants_150/bagno_086.wav;bagno;12.835;1.769;1.808;1.631;1.618
bagno_variants_150/bagno_088.wav;bagno;11.849;1.86;1.809;1.502;1.695
bagno_variants_150/bagno_089.wav;bagno;12.112;1.882;1.87;1.782;1.724
bagno_variants_150/bagno_090.wav;bagno;9.742;1.501;1.693;1.568;1.492
bagno_variants_150/bagno_091.wav;bagno;9.721;1.531;1.649;1.637;1.509
bagno_variants_150/bagno_092.wav;bagno;12.932;1.764;1.818;1.547;1.634
bagno_variants_150/bagno_093.wav;bagno;12.966;1.654;1.739;1.529;1.549
bagno_variants_150/bagno_094.wav;bagno;11.414;1.551;1.59;1.66;1.477
bagno_variants_150/bagno_095.wav;bagno;11.438;1.668;1.685;1.459;1.498
bagno_variants_150/bagno_096.wav;bagno;10.924;1.827;1.787;1.633;1.646
bagno_variants_150/bagno_097.wav;bagno;12.331;1.802;1.836;1.728;1.691
bagno_variants_150/bagno_098.wav;bagno;11.379;1.496;1.569;1.621;1.458
bagno_variants_150/bagno_099.wav;bagno;15.802;1.949;2.028;1.813;1.818
bagno_variants_150/bagno_100.wav;bagno;14.37;1.813;1.809;1.668;1.659
bagno_variants_150/bagno_101.wav;bagno;12.308;1.773;1.842;1.809;1.72
bagno_variants_150/bagno_102.wav;bagno;13.321;1.661;1.826;1.492;1.545
bagno_variants_150/bagno_103.wav;bagno;11.963;1.435;1.569;1.564;1.423
bagno_variants_150/bagno_104.wav;bagno;11.357;1.809;1.796;1.674;1.651
bagno_variants_150/bagno_105.wav;bagno;11.23;1.802;1.831;1.51;1.674
bagno_variants_150/bagno_106.wav;bagno;12.172;1.491;1.515;1.411;1.299
bagno_variants_150/bagno_107.wav;bagno;14.179;2.048;1.975;1.574;1.804
bagno_variants_150/bagno_108.wav;bagno;12.11;1.506;1.622;1.634;1.464
bagno_variants_150/bagno_109.wav;bagno;14.576;1.777;1.848;1.682;1.589
bagno_variants_150/bagno_110.wav;bagno;12.347;1.589;1.723;1.626;1.525
bagno_variants_150/bagno_111.wav;bagno;12.807;1.763;1.762;1.527;1.55
bagno_variants_150/bagno_112.wav;bagno;12.692;1.588;1.637;1.621;1.468
bagno_variants_150/bagno_113.wav;bagno;11.008;1.715;1.802;1.717;1.615
bagno_variants_150/bagno_114.wav;bagno;13.737;1.677;1.69;1.691;1.583
bagno_variants_150/bagno_115.wav;bagno;14.272;1.439;1.551;1.614;1.395
bagno_variants_150/bagno_116.wav;bagno;13.749;1.428;1.423;1.418;1.308
bagno_variants_150/bagno_117.wav;bagno;12.012;1.613;1.54;1.425;1.333
bagno_variants_150/bagno_118.wav;bagno;12.066;1.692;1.778;1.741;1.619
bagno_variants_150/bagno_119.wav;bagno;13.11;1.565;1.517;1.502;1.348
bagno_variants_150/bagno_120.wav;bagno;13.515;1.668;1.674;1.642;1.529
bagno_variants_150/bagno_121.wav;bagno;11.624;1.817;1.847;1.67;1.736
bagno_variants_150/bagno_122.wav;bagno;11.605;1.772;1.908;1.768;1.676
bagno_variants_150/bagno_123.wav;bagno;13.225;1.91;1.982;1.767;1.789
bagno_variants_150/bagno_124.wav;bagno;13.616;1.588;1.474;1.443;1.33
bagno_variants_150/bagno_125.wav;bagno;10.927;1.508;1.694;1.416;1.471
bagno_variants_150/bagno_126.wav;bagno;12.435;1.592;1.562;1.677;1.507
bagno_variants_150/bagno_127.wav;bagno;12.902;1.736;1.953;1.708;1.708
bagno_variants_150/bagno_128.wav;bagno;14.291;1.774;1.872;1.708;1.674
bagno_variants_150/bagno_130.wav;bagno;13.535;1.468;1.532;1.502;1.34
bagno_variants_150/bagno_131.wav;bagno;12.076;1.623;1.596;1.545;1.446
bagno_variants_150/bagno_132.wav;bagno;11.562;1.949;1.821;1.507;1.72
bagno_variants_150/bagno_133.wav;bagno;12.666;1.773;1.873;1.638;1.65
bagno_variants_150/bagno_134.wav;bagno;12.852;1.856;1.921;1.864;1.758
bagno_variants_150/bagno_135.wav;bagno;13.358;1.865;1.861;1.735;1.709
bagno_variants_150/bagno_136.wav;bagno;13.718;1.878;1.754;1.575;1.582
bagno_variants_150/bagno_137.wav;bagno;13.055;1.819;1.934;1.542;1.712
bagno_variants_150/bagno_138.wav;bagno;12.817;1.894;1.887;1.797;1.706
bagno_variants_150/bagno_139.wav;bagno;9.962;1.509;1.478;1.543;1.394
bagno_variants_150/bagno_140.wav;bagno;13.45;1.6;1.62;1.554;1.41
bagno_variants_150/bagno_141.wav;bagno;10.507;1.918;1.831;1.729;1.736
bagno_variants_150/bagno_142.wav;bagno;12.326;1.673;1.846;1.548;1.546
bagno_variants_150/bagno_143.wav;bagno;11.564;1.483;1.462;1.413;1.294
bagno_variants_150/bagno_144.wav;bagno;15.181;1.726;1.821;1.593;1.596
bagno_variants_150/bagno_145.wav;bagno;12.63;1.782;1.914;1.663;1.667
bagno_variants_150/bagno_146.wav;bagno;10.869;1.729;1.799;1.673;1.619
bagno_variants_150/bagno_147.wav;bagno;14.394;2.068;2.034;1.926;1.881
bagno_variants_150/bagno_148.wav;bagno;11.444;1.342;1.511;1.365;1.266
bagno_variants_150/bagno_149.wav;bagno;13.621;1.464;1.444;1.469;1.353
bagno_variants_150/bagno_150.wav;bagno;11.928;1.68;1.777;1.691;1.615
biblioteca_variants_150/biblioteca_001.wav;biblioteca;469.053;5.774;4.416;3.238;3.83
biblioteca_variants_150/biblioteca_002.wav;biblioteca;439.703;0.983;0.955;0.948;0.978
biblioteca_variants_150/biblioteca_003.wav;biblioteca;482.909;5.132;5.605;3.288;5.863
biblioteca_variants_150/biblioteca_004.wav;biblioteca;368.707;2.349;2.441;2.436;2.451
biblioteca_variants_150/biblioteca_005.wav;biblioteca;365.902;1.967;1.713;1.251;2.046
biblioteca_variants_150/biblioteca_006.wav;biblioteca;416.647;2.216;2.56;2.558;2.206
biblioteca_variants_150/biblioteca_007.wav;biblioteca;457.674;2.865;3.399;2.901;2.499
biblioteca_variants_150/biblioteca_008.wav;biblioteca;459.537;4.424;4.293;2.697;3.489
biblioteca_variants_150/biblioteca_009.wav;biblioteca;388.19;1.515;1.509;1.507;1.223
biblioteca_variants_150/biblioteca_010.wav;biblioteca;409.474;2.225;2.245;2.213;2.217
